Iter  Part  GoF  Model_Output  
2  35   2.8525069E-01   2.8525069E-01  
2  36   1.0000000E+10   1.0000000E+10  
2  37   2.5465114E-01   2.5465114E-01  
2  38   1.8902778E-01   1.8902778E-01  
2  39   2.5522754E-01   2.5522754E-01  
2  40   2.5064933E-01   2.5064933E-01  
3  1   2.5937568E-01   2.5937568E-01  
3  2   2.8762236E-01   2.8762236E-01  
3  3   2.6398103E-01   2.6398103E-01  
3  4   1.9837522E-01   1.9837522E-01  
3  5   2.5775081E-01   2.5775081E-01  
3  6   1.0000000E+10   1.0000000E+10  
3  7   1.9084064E-01   1.9084064E-01  
3  8   2.6110054E-01   2.6110054E-01  
3  9   2.6507793E-01   2.6507793E-01  
3  10   2.7662655E-01   2.7662655E-01  
3  11   1.0000000E+10   1.0000000E+10  
3  12   1.9084034E-01   1.9084034E-01  
3  13   1.9011887E-01   1.9011887E-01  
3  14   2.5221965E-01   2.5221965E-01  
3  15   2.5565590E-01   2.5565590E-01  
3  16   1.0000000E+10   1.0000000E+10  
3  17   1.0000000E+10   1.0000000E+10  
3  18   2.5391115E-01   2.5391115E-01  
3  19   2.6493397E-01   2.6493397E-01  
3  20   2.5246884E-01   2.5246884E-01  
3  21   1.0000000E+10   1.0000000E+10  
3  22   2.7811131E-01   2.7811131E-01  
3  23   2.4778859E-01   2.4778859E-01  
3  24   2.5840662E-01   2.5840662E-01  
3  25   2.5221965E-01   2.5221965E-01  
3  26   2.5458171E-01   2.5458171E-01  
3  27   1.9027430E-01   1.9027430E-01  
3  28   2.5547439E-01   2.5547439E-01  
3  29   2.7875146E-01   2.7875146E-01  
3  30   1.8590361E-01   1.8590361E-01  
3  31   2.5532930E-01   2.5532930E-01  
3  32   2.5362844E-01   2.5362844E-01  
3  33   2.5479589E-01   2.5479589E-01  
3  34   2.7923326E-01   2.7923326E-01  
3  35   2.5055290E-01   2.5055290E-01  
3  36   1.0000000E+10   1.0000000E+10  
3  37   2.5479589E-01   2.5479589E-01  
3  38   1.8619739E-01   1.8619739E-01  
3  39   1.8796609E-01   1.8796609E-01  
3  40   2.5064933E-01   2.5064933E-01  
4  1   2.5787430E-01   2.5787430E-01  
4  2   2.7312775E-01   2.7312775E-01  
4  3   2.6378172E-01   2.6378172E-01  
4  4   1.9837522E-01   1.9837522E-01  
4  5   1.9929978E-01   1.9929978E-01  
4  6   1.0000000E+10   1.0000000E+10  
4  7   2.5486618E-01   2.5486618E-01  
4  8   1.9859606E-01   1.9859606E-01  
4  9   2.7156804E-01   2.7156804E-01  
4  10   2.7662655E-01   2.7662655E-01  
4  11   1.0000000E+10   1.0000000E+10  
4  12   1.9084064E-01   1.9084064E-01  
4  13   2.5055290E-01   2.5055290E-01  
4  14   2.4778859E-01   2.4778859E-01  
4  15   1.0000000E+10   1.0000000E+10  
4  16   2.5800716E-01   2.5800716E-01  
4  17   2.8192108E-01   2.8192108E-01  
4  18   2.8934538E-01   2.8934538E-01  
4  19   2.9048427E-01   2.9048427E-01  
4  20   2.5455032E-01   2.5455032E-01  
4  21   1.9084064E-01   1.9084064E-01  
4  22   2.7811131E-01   2.7811131E-01  
4  23   2.4778859E-01   2.4778859E-01  
4  24   2.5840662E-01   2.5840662E-01  
4  25   2.5221965E-01   2.5221965E-01  
4  26   2.5458171E-01   2.5458171E-01  
4  27   1.9027430E-01   1.9027430E-01  
4  28   2.5547439E-01   2.5547439E-01  
4  29   2.7850442E-01   2.7850442E-01  
4  30   1.8640755E-01   1.8640755E-01  
4  31   1.8788511E-01   1.8788511E-01  
4  32   2.5514218E-01   2.5514218E-01  
4  33   2.5479589E-01   2.5479589E-01  
4  34   2.7811131E-01   2.7811131E-01  
4  35   1.9011887E-01   1.9011887E-01  
4  36   2.6197850E-01   2.6197850E-01  
4  37   2.5641612E-01   2.5641612E-01  
4  38   1.8619739E-01   1.8619739E-01  
4  39   1.8796609E-01   1.8796609E-01  
4  40   2.5251301E-01   2.5251301E-01  
5  1   2.5671265E-01   2.5671265E-01  
5  2   2.8400865E-01   2.8400865E-01  
5  3   2.6199254E-01   2.6199254E-01  
5  4   1.8692572E-01   1.8692572E-01  
5  5   1.9837522E-01   1.9837522E-01  
5  6   2.5547339E-01   2.5547339E-01  
5  7   2.5486618E-01   2.5486618E-01  
5  8   2.6507793E-01   2.6507793E-01  
5  9   2.5348964E-01   2.5348964E-01  
5  10   2.7116137E-01   2.7116137E-01  
5  11   2.6080581E-01   2.6080581E-01  
5  12   1.9030449E-01   1.9030449E-01  
5  13   2.5055290E-01   2.5055290E-01  
5  14   2.5031890E-01   2.5031890E-01  
5  15   2.4966941E-01   2.4966941E-01  
5  16   1.9011887E-01   1.9011887E-01  
5  17   2.4778859E-01   2.4778859E-01  
5  18   2.7344524E-01   2.7344524E-01  
5  19   1.0000000E+10   1.0000000E+10  
5  20   2.5333338E-01   2.5333338E-01  
5  21   1.9183897E-01   1.9183897E-01  
5  22   2.5674968E-01   2.5674968E-01  
5  23   2.4778859E-01   2.4778859E-01  
5  24   1.9939909E-01   1.9939909E-01  
5  25   2.5489627E-01   2.5489627E-01  
5  26   2.5237924E-01   2.5237924E-01  
5  27   1.9165962E-01   1.9165962E-01  
5  28   1.8619739E-01   1.8619739E-01  
5  29   2.8772881E-01   2.8772881E-01  
5  30   1.8640755E-01   1.8640755E-01  
5  31   1.8788511E-01   1.8788511E-01  
5  32   1.8743727E-01   1.8743727E-01  
5  33   2.5568123E-01   2.5568123E-01  
5  34   2.5658401E-01   2.5658401E-01  
5  35   1.9011887E-01   1.9011887E-01  
5  36   1.0000000E+10   1.0000000E+10  
5  37   1.8796609E-01   1.8796609E-01  
5  38   1.8619739E-01   1.8619739E-01  
5  39   1.9138367E-01   1.9138367E-01  
5  40   1.8711006E-01   1.8711006E-01  
1  1   1.0000000E+10   1.0000000E+10  
1  2   1.0000000E+10   1.0000000E+10  
1  3   2.4749557E-01   2.4749557E-01  
1  4   1.0000000E+10   1.0000000E+10  
1  5   1.5701479E-01   1.5701479E-01  
1  6   2.7251017E-01   2.7251017E-01  
1  7   1.0000000E+10   1.0000000E+10  
1  8   1.0000000E+10   1.0000000E+10  
1  9   1.0000000E+10   1.0000000E+10  
1  10   1.0000000E+10   1.0000000E+10  
1  11   1.0000000E+10   1.0000000E+10  
1  12   1.7866959E-01   1.7866959E-01  
1  13   1.0000000E+10   1.0000000E+10  
1  14   2.5767897E-01   2.5767897E-01  
1  15   1.0000000E+10   1.0000000E+10  
1  16   2.4160692E-01   2.4160692E-01  
1  17   1.0000000E+10   1.0000000E+10  
1  18   1.0000000E+10   1.0000000E+10  
1  19   1.8533305E-01   1.8533305E-01  
1  20   1.0000000E+10   1.0000000E+10  
1  21   1.0000000E+10   1.0000000E+10  
1  22   1.0000000E+10   1.0000000E+10  
1  23   1.0000000E+10   1.0000000E+10  
1  24   1.0000000E+10   1.0000000E+10  
1  25   1.6309816E-01   1.6309816E-01  
1  26   1.0000000E+10   1.0000000E+10  
1  27   1.0000000E+10   1.0000000E+10  
1  28   1.0000000E+10   1.0000000E+10  
1  29   2.5564158E-01   2.5564158E-01  
1  30   1.4215599E-01   1.4215599E-01  
1  31   1.0000000E+10   1.0000000E+10  
1  32   1.6311487E-01   1.6311487E-01  
1  33   1.6630697E-01   1.6630697E-01  
1  34   1.0000000E+10   1.0000000E+10  
1  35   1.7551874E-01   1.7551874E-01  
1  36   1.6545019E-01   1.6545019E-01  
1  37   1.6055929E-01   1.6055929E-01  
1  38   1.0000000E+10   1.0000000E+10  
1  39   1.0000000E+10   1.0000000E+10  
1  40   1.0000000E+10   1.0000000E+10  
6  1   1.0000000E+10   1.0000000E+10  
6  2   2.5353302E-01   2.5353302E-01  
6  3   2.6022291E-01   2.6022291E-01  
6  4   1.8711006E-01   1.8711006E-01  
6  5   2.0026802E-01   2.0026802E-01  
6  6   2.7911781E-01   2.7911781E-01  
6  7   2.5641612E-01   2.5641612E-01  
6  8   2.6507793E-01   2.6507793E-01  
6  9   1.8704790E-01   1.8704790E-01  
6  10   1.9011887E-01   1.9011887E-01  
6  11   2.0036455E-01   2.0036455E-01  
6  12   1.8746057E-01   1.8746057E-01  
6  13   2.5232317E-01   2.5232317E-01  
6  14   2.5031890E-01   2.5031890E-01  
6  15   1.9138367E-01   1.9138367E-01  
6  16   1.9011887E-01   1.9011887E-01  
6  17   1.8633023E-01   1.8633023E-01  
6  18   1.0000000E+10   1.0000000E+10  
6  19   2.5746349E-01   2.5746349E-01  
6  20   2.5333338E-01   2.5333338E-01  
6  21   1.9183897E-01   1.9183897E-01  
6  22   2.5458171E-01   2.5458171E-01  
6  23   2.4978184E-01   2.4978184E-01  
6  24   2.5800716E-01   2.5800716E-01  
6  25   1.9058789E-01   1.9058789E-01  
6  26   2.5031890E-01   2.5031890E-01  
6  27   1.8788511E-01   1.8788511E-01  
6  28   1.8590361E-01   1.8590361E-01  
6  29   2.5532930E-01   2.5532930E-01  
6  30   1.8640755E-01   1.8640755E-01  
6  31   1.8796609E-01   1.8796609E-01  
6  32   1.8619739E-01   1.8619739E-01  
6  33   2.9315334E-01   2.9315334E-01  
6  34   1.8746057E-01   1.8746057E-01  
6  35   1.9011887E-01   1.9011887E-01  
6  36   2.8515486E-01   2.8515486E-01  
6  37   1.8796609E-01   1.8796609E-01  
6  38   1.8619739E-01   1.8619739E-01  
6  39   1.8633023E-01   1.8633023E-01  
6  40   1.9138367E-01   1.9138367E-01  
7  1   2.5378569E-01   2.5378569E-01  
7  2   1.8633023E-01   1.8633023E-01  
7  3   2.7807765E-01   2.7807765E-01  
7  4   1.8711006E-01   1.8711006E-01  
7  5   1.9027430E-01   1.9027430E-01  
7  6   1.8692572E-01   1.8692572E-01  
7  7   1.9165962E-01   1.9165962E-01  
7  8   2.6216666E-01   2.6216666E-01  
7  9   1.9883812E-01   1.9883812E-01  
7  10   1.9165962E-01   1.9165962E-01  
7  11   1.9858598E-01   1.9858598E-01  
7  12   1.8746057E-01   1.8746057E-01  
7  13   2.5455032E-01   2.5455032E-01  
7  14   2.5031890E-01   2.5031890E-01  
7  15   2.5612629E-01   2.5612629E-01  
7  16   2.5283048E-01   2.5283048E-01  
7  17   1.8633023E-01   1.8633023E-01  
7  18   2.5504153E-01   2.5504153E-01  
7  19   1.8633023E-01   1.8633023E-01  
7  20   1.8751957E-01   1.8751957E-01  
7  21   2.5784275E-01   2.5784275E-01  
7  22   2.5532930E-01   2.5532930E-01  
7  23   2.4978184E-01   2.4978184E-01  
7  24   1.9138367E-01   1.9138367E-01  
7  25   1.9058789E-01   1.9058789E-01  
7  26   2.5412300E-01   2.5412300E-01  
7  27   1.9971626E-01   1.9971626E-01  
7  28   1.8590361E-01   1.8590361E-01  
7  29   1.9165962E-01   1.9165962E-01  
7  30   1.8640755E-01   1.8640755E-01  
7  31   1.8788511E-01   1.8788511E-01  
7  32   1.8619739E-01   1.8619739E-01  
7  33   2.5538798E-01   2.5538798E-01  
7  34   1.8746057E-01   1.8746057E-01  
7  35   1.9011887E-01   1.9011887E-01  
7  36   2.8071667E-01   2.8071667E-01  
7  37   1.8692572E-01   1.8692572E-01  
7  38   1.8619739E-01   1.8619739E-01  
7  39   1.8633023E-01   1.8633023E-01  
7  40   1.9138367E-01   1.9138367E-01  
8  1   2.5064933E-01   2.5064933E-01  
8  2   1.8633023E-01   1.8633023E-01  
8  3   2.5348964E-01   2.5348964E-01  
8  4   1.8711006E-01   1.8711006E-01  
8  5   1.9027430E-01   1.9027430E-01  
8  6   1.8692572E-01   1.8692572E-01  
8  7   1.9058789E-01   1.9058789E-01  
8  8   2.5455032E-01   2.5455032E-01  
8  9   1.9755978E-01   1.9755978E-01  
8  10   1.9058789E-01   1.9058789E-01  
8  11   1.8886473E-01   1.8886473E-01  
8  12   1.8796609E-01   1.8796609E-01  
8  13   2.5551975E-01   2.5551975E-01  
8  14   2.5031890E-01   2.5031890E-01  
8  15   2.5522754E-01   2.5522754E-01  
8  16   1.8692572E-01   1.8692572E-01  
8  17   1.8619739E-01   1.8619739E-01  
8  18   1.8902778E-01   1.8902778E-01  
8  19   1.8633023E-01   1.8633023E-01  
8  20   2.0036455E-01   2.0036455E-01  
8  21   2.5649140E-01   2.5649140E-01  
8  22   2.5505753E-01   2.5505753E-01  
8  23   2.5564570E-01   2.5564570E-01  
8  24   1.9165962E-01   1.9165962E-01  
8  25   1.8619739E-01   1.8619739E-01  
8  26   1.9011887E-01   1.9011887E-01  
8  27   1.8692572E-01   1.8692572E-01  
8  28   1.8590361E-01   1.8590361E-01  
8  29   1.9058789E-01   1.9058789E-01  
8  30   1.8590361E-01   1.8590361E-01  
8  31   1.8788511E-01   1.8788511E-01  
8  32   1.8619739E-01   1.8619739E-01  
8  33   2.5823604E-01   2.5823604E-01  
8  34   1.8633023E-01   1.8633023E-01  
8  35   1.8711006E-01   1.8711006E-01  
8  36   2.5297082E-01   2.5297082E-01  
8  37   1.8692572E-01   1.8692572E-01  
8  38   1.8619739E-01   1.8619739E-01  
8  39   1.8619739E-01   1.8619739E-01  
8  40   1.8796609E-01   1.8796609E-01  
9  1   1.8633023E-01   1.8633023E-01  
9  2   1.8633023E-01   1.8633023E-01  
9  3   1.8751957E-01   1.8751957E-01  
9  4   1.8711006E-01   1.8711006E-01  
9  5   1.8692572E-01   1.8692572E-01  
9  6   1.8619739E-01   1.8619739E-01  
9  7   1.8743727E-01   1.8743727E-01  
9  8   1.8743727E-01   1.8743727E-01  
9  9   1.9802938E-01   1.9802938E-01  
9  10   1.8619739E-01   1.8619739E-01  
9  11   1.8938032E-01   1.8938032E-01  
9  12   1.8746057E-01   1.8746057E-01  
9  13   2.0026802E-01   2.0026802E-01  
9  14   1.8692572E-01   1.8692572E-01  
9  15   2.5522754E-01   2.5522754E-01  
9  16   1.9837522E-01   1.9837522E-01  
9  17   1.8619739E-01   1.8619739E-01  
9  18   1.8902778E-01   1.8902778E-01  
9  19   1.8633023E-01   1.8633023E-01  
9  20   1.9858598E-01   1.9858598E-01  
9  21   2.5749760E-01   2.5749760E-01  
9  22   2.5198526E-01   2.5198526E-01  
9  23   2.5315309E-01   2.5315309E-01  
9  24   1.8633023E-01   1.8633023E-01  
9  25   1.8619739E-01   1.8619739E-01  
9  26   1.9858598E-01   1.9858598E-01  
9  27   1.8619739E-01   1.8619739E-01  
9  28   1.8712310E-01   1.8712310E-01  
9  29   1.9084034E-01   1.9084034E-01  
9  30   1.8712310E-01   1.8712310E-01  
9  31   1.8692572E-01   1.8692572E-01  
9  32   1.8619739E-01   1.8619739E-01  
9  33   1.9780680E-01   1.9780680E-01  
9  34   1.8633023E-01   1.8633023E-01  
9  35   1.8711006E-01   1.8711006E-01  
9  36   2.5197156E-01   2.5197156E-01  
9  37   1.8619739E-01   1.8619739E-01  
9  38   1.8619739E-01   1.8619739E-01  
9  39   1.8619739E-01   1.8619739E-01  
9  40   1.8633023E-01   1.8633023E-01  
10  1   1.8692572E-01   1.8692572E-01  
10  2   1.8590361E-01   1.8590361E-01  
10  3   1.8712310E-01   1.8712310E-01  
10  4   1.9837522E-01   1.9837522E-01  
10  5   1.8743727E-01   1.8743727E-01  
10  6   1.8619739E-01   1.8619739E-01  
10  7   1.8743727E-01   1.8743727E-01  
10  8   1.8743727E-01   1.8743727E-01  
10  9   1.8590361E-01   1.8590361E-01  
10  10   1.8619739E-01   1.8619739E-01  
10  11   1.8938032E-01   1.8938032E-01  
10  12   1.8746057E-01   1.8746057E-01  
10  13   1.9939630E-01   1.9939630E-01  
10  14   1.8692572E-01   1.8692572E-01  
10  15   1.8711006E-01   1.8711006E-01  
10  16   1.9705066E-01   1.9705066E-01  
10  17   1.8619739E-01   1.8619739E-01  
10  18   1.8902778E-01   1.8902778E-01  
10  19   1.8633023E-01   1.8633023E-01  
10  20   1.9705066E-01   1.9705066E-01  
10  21   2.5514218E-01   2.5514218E-01  
10  22   2.5162440E-01   2.5162440E-01  
10  23   2.4778859E-01   2.4778859E-01  
10  24   2.5064933E-01   2.5064933E-01  
10  25   1.8619739E-01   1.8619739E-01  
10  26   2.0168396E-01   2.0168396E-01  
10  27   1.8619739E-01   1.8619739E-01  
10  28   1.8590361E-01   1.8590361E-01  
10  29   1.9084034E-01   1.9084034E-01  
10  30   1.8712310E-01   1.8712310E-01  
10  31   1.8692572E-01   1.8692572E-01  
10  32   1.8619739E-01   1.8619739E-01  
10  33   1.8746057E-01   1.8746057E-01  
10  34   1.8619739E-01   1.8619739E-01  
10  35   1.8704790E-01   1.8704790E-01  
10  36   2.5197156E-01   2.5197156E-01  
10  37   1.8619739E-01   1.8619739E-01  
10  38   1.8619739E-01   1.8619739E-01  
10  39   1.8619739E-01   1.8619739E-01  
10  40   1.8633023E-01   1.8633023E-01  
11  1   1.8619739E-01   1.8619739E-01  
11  2   1.8590361E-01   1.8590361E-01  
11  3   1.8743727E-01   1.8743727E-01  
11  4   1.9837522E-01   1.9837522E-01  
11  5   1.8743727E-01   1.8743727E-01  
11  6   1.8590361E-01   1.8590361E-01  
11  7   1.8743727E-01   1.8743727E-01  
11  8   1.8619739E-01   1.8619739E-01  
11  9   1.8590361E-01   1.8590361E-01  
11  10   1.8619739E-01   1.8619739E-01  
11  11   1.8938032E-01   1.8938032E-01  
11  12   1.8633023E-01   1.8633023E-01  
11  13   1.9939630E-01   1.9939630E-01  
11  14   1.8692572E-01   1.8692572E-01  
11  15   1.8692572E-01   1.8692572E-01  
11  16   1.9705066E-01   1.9705066E-01  
11  17   1.8619739E-01   1.8619739E-01  
11  18   1.8902778E-01   1.8902778E-01  
11  19   1.8619739E-01   1.8619739E-01  
11  20   1.8619739E-01   1.8619739E-01  
11  21   2.5001327E-01   2.5001327E-01  
11  22   1.8590361E-01   1.8590361E-01  
11  23   2.4778859E-01   2.4778859E-01  
11  24   1.8619739E-01   1.8619739E-01  
11  25   1.8619739E-01   1.8619739E-01  
11  26   1.9858598E-01   1.9858598E-01  
11  27   1.8619739E-01   1.8619739E-01  
11  28   1.8619739E-01   1.8619739E-01  
11  29   1.9084034E-01   1.9084034E-01  
11  30   1.8712310E-01   1.8712310E-01  
11  31   1.8619739E-01   1.8619739E-01  
11  32   1.8619739E-01   1.8619739E-01  
11  33   1.8743727E-01   1.8743727E-01  
11  34   1.8619739E-01   1.8619739E-01  
11  35   1.9802938E-01   1.9802938E-01  
11  36   1.8619739E-01   1.8619739E-01  
11  37   1.8619739E-01   1.8619739E-01  
11  38   1.8619739E-01   1.8619739E-01  
11  39   1.8619739E-01   1.8619739E-01  
11  40   1.8619739E-01   1.8619739E-01  
12  1   1.8619739E-01   1.8619739E-01  
12  2   1.8590361E-01   1.8590361E-01  
12  3   1.8743727E-01   1.8743727E-01  
12  4   1.9837522E-01   1.9837522E-01  
12  5   1.8619739E-01   1.8619739E-01  
12  6   1.8590361E-01   1.8590361E-01  
12  7   1.8712310E-01   1.8712310E-01  
12  8   1.8619739E-01   1.8619739E-01  
12  9   1.8619739E-01   1.8619739E-01  
12  10   1.8619739E-01   1.8619739E-01  
12  11   1.8925679E-01   1.8925679E-01  
12  12   1.8633023E-01   1.8633023E-01  
12  13   1.9939630E-01   1.9939630E-01  
12  14   1.8692572E-01   1.8692572E-01  
12  15   1.8619739E-01   1.8619739E-01  
12  16   1.8590361E-01   1.8590361E-01  
12  17   1.8590361E-01   1.8590361E-01  
12  18   1.9084034E-01   1.9084034E-01  
12  19   1.8590361E-01   1.8590361E-01  
12  20   1.8619739E-01   1.8619739E-01  
12  21   2.4778859E-01   2.4778859E-01  
12  22   1.8619739E-01   1.8619739E-01  
12  23   1.8633023E-01   1.8633023E-01  
12  24   1.8619739E-01   1.8619739E-01  
12  25   1.8619739E-01   1.8619739E-01  
12  26   1.9858598E-01   1.9858598E-01  
12  27   1.8619739E-01   1.8619739E-01  
12  28   1.8590361E-01   1.8590361E-01  
12  29   1.9180673E-01   1.9180673E-01  
12  30   1.9929978E-01   1.9929978E-01  
12  31   1.8590361E-01   1.8590361E-01  
12  32   1.8619739E-01   1.8619739E-01  
12  33   1.8590361E-01   1.8590361E-01  
12  34   1.8590361E-01   1.8590361E-01  
12  35   1.9802938E-01   1.9802938E-01  
12  36   1.8619739E-01   1.8619739E-01  
12  37   1.8619739E-01   1.8619739E-01  
12  38   1.8619739E-01   1.8619739E-01  
12  39   1.8619739E-01   1.8619739E-01  
12  40   1.8619739E-01   1.8619739E-01  
13  1   1.8619739E-01   1.8619739E-01  
13  2   1.8590361E-01   1.8590361E-01  
13  3   1.8619739E-01   1.8619739E-01  
13  4   1.8619739E-01   1.8619739E-01  
13  5   1.8590361E-01   1.8590361E-01  
13  6   1.8590361E-01   1.8590361E-01  
13  7   1.8590361E-01   1.8590361E-01  
13  8   1.8619739E-01   1.8619739E-01  
13  9   1.8590361E-01   1.8590361E-01  
13  10   1.8619739E-01   1.8619739E-01  
13  11   1.8902778E-01   1.8902778E-01  
13  12   1.8619739E-01   1.8619739E-01  
13  13   1.9027430E-01   1.9027430E-01  
13  14   1.8692572E-01   1.8692572E-01  
13  15   1.8590361E-01   1.8590361E-01  
13  16   1.8640755E-01   1.8640755E-01  
13  17   1.8590361E-01   1.8590361E-01  
13  18   1.8743727E-01   1.8743727E-01  
13  19   1.8590361E-01   1.8590361E-01  
13  20   1.8619739E-01   1.8619739E-01  
13  21   1.8938032E-01   1.8938032E-01  
13  22   1.8619739E-01   1.8619739E-01  
13  23   1.8633023E-01   1.8633023E-01  
13  24   1.8619739E-01   1.8619739E-01  
13  25   1.8619739E-01   1.8619739E-01  
13  26   1.9858598E-01   1.9858598E-01  
13  27   1.8619739E-01   1.8619739E-01  
13  28   1.8590361E-01   1.8590361E-01  
13  29   1.8788511E-01   1.8788511E-01  
13  30   1.9929978E-01   1.9929978E-01  
13  31   1.8590361E-01   1.8590361E-01  
13  32   1.8619739E-01   1.8619739E-01  
13  33   1.8590361E-01   1.8590361E-01  
13  34   1.8590361E-01   1.8590361E-01  
13  35   1.9802938E-01   1.9802938E-01  
13  36   1.8619739E-01   1.8619739E-01  
13  37   1.8619739E-01   1.8619739E-01  
13  38   1.9705066E-01   1.9705066E-01  
13  39   1.8619739E-01   1.8619739E-01  
13  40   1.8619739E-01   1.8619739E-01  
14  1   1.8619739E-01   1.8619739E-01  
14  2   1.8590361E-01   1.8590361E-01  
14  3   1.8619739E-01   1.8619739E-01  
14  4   1.8619739E-01   1.8619739E-01  
14  5   1.8590361E-01   1.8590361E-01  
14  6   1.8590361E-01   1.8590361E-01  
14  7   1.8925679E-01   1.8925679E-01  
14  8   1.8619739E-01   1.8619739E-01  
14  9   1.8590361E-01   1.8590361E-01  
14  10   1.8619739E-01   1.8619739E-01  
14  11   1.9705066E-01   1.9705066E-01  
14  12   1.8619739E-01   1.8619739E-01  
14  13   1.9027430E-01   1.9027430E-01  
14  14   2.4978184E-01   2.4978184E-01  
14  15   1.8590361E-01   1.8590361E-01  
14  16   1.8640755E-01   1.8640755E-01  
14  17   1.8590361E-01   1.8590361E-01  
14  18   1.8746057E-01   1.8746057E-01  
14  19   1.8590361E-01   1.8590361E-01  
14  20   1.8619739E-01   1.8619739E-01  
14  21   1.8938032E-01   1.8938032E-01  
14  22   1.8619739E-01   1.8619739E-01  
14  23   1.8640755E-01   1.8640755E-01  
14  24   1.8619739E-01   1.8619739E-01  
14  25   1.8619739E-01   1.8619739E-01  
14  26   1.9027430E-01   1.9027430E-01  
14  27   1.8619739E-01   1.8619739E-01  
14  28   1.8590361E-01   1.8590361E-01  
14  29   1.8692572E-01   1.8692572E-01  
14  30   1.9929978E-01   1.9929978E-01  
14  31   1.8590361E-01   1.8590361E-01  
14  32   1.8619739E-01   1.8619739E-01  
14  33   1.8590361E-01   1.8590361E-01  
14  34   1.8590361E-01   1.8590361E-01  
14  35   1.8590361E-01   1.8590361E-01  
14  36   1.8590361E-01   1.8590361E-01  
14  37   1.8619739E-01   1.8619739E-01  
14  38   1.8619739E-01   1.8619739E-01  
14  39   1.8619739E-01   1.8619739E-01  
14  40   1.8619739E-01   1.8619739E-01  
15  1   1.8619739E-01   1.8619739E-01  
15  2   1.8590361E-01   1.8590361E-01  
15  3   1.8619739E-01   1.8619739E-01  
15  4   1.8619739E-01   1.8619739E-01  
15  5   1.8590361E-01   1.8590361E-01  
15  6   1.8590361E-01   1.8590361E-01  
15  7   1.9985220E-01   1.9985220E-01  
